#timestamp|callsign|vessel|latitude|longitude
1631139300000|ZMG2004|ADVENTURER|-36.84238|174.76707666666667
1631139427000|ZMG3426|KEKENO|-36.84233833333333|174.766315
1631139425000|ZMS7101|CLIPPER II|-36.88973|174.98968
1631139422000|ZMT3984|CLIPPER 3|-36.889563333333335|174.98965333333334
1631139424000|ZMU7402|D6 |-36.84106666666667|174.76740166666667
1631139416000|ZME7070|D7 |-36.789851666666664|174.67824333333334
1631139360000|ZMA2422|DISCOVERY III|-36.839866666666666|174.75086166666668
1631139360000|ZMZ4489|HARBOURCAT|-36.832683333333335|174.84034
1631139360000|ZMQ7781|ISLAND NAVIGATOR|-36.83792166666667|174.75491
1631139424000|ZMW7964|KORORA|-36.841321666666666|174.76730666666666
1631139360000|ZMU5423|SEABRIDGE|-36.83615|174.75650666666667
1631139420000|ZMV7638|SEAMASTER|-36.84287666666667|174.92440333333334
1631139420000|ZMR3466|SEAWAY II|-36.861045|174.93975833333334
1631139360000|ZMV7877|SERENITY|-36.81168|174.64816666666667
1631139147000|XXX0000|FLYING DUTCHMAN|-36.921018333333336|174.85818166666667
1631139419000|ZMU2646|TE KOTUKU|-36.84195833333333|174.76675666666668
1631139360000|ZMR2981|TIGER CAT|-36.84075|174.76757166666667
1631139424000|ZMX2703|TOREA|-36.81650333333333|174.884335
1631139426000|ZMX8794|IKA KAKAHI|-36.811643333333336|174.88362333333333
1631140020000|ZMG2004|ADVENTURER|-36.84236166666667|174.767075
1631140077000|ZMG3426|KEKENO|-36.842355|174.76633333333334
1631140075000|ZMS7101|CLIPPER II|-36.88973|174.98972
1631140082000|ZMT3984|CLIPPER 3|-36.889556666666664|174.98965333333334
1631140075000|ZMU7402|D6 |-36.841065|174.76743666666667
1631140075000|ZME7070|D7 |-36.78984833333333|174.67826
1631140020000|XXX0000|FLYING DUTCHMAN|-36.84246|174.762565
1631139900000|ZMA2422|DISCOVERY III|-36.839875|174.75086333333334
1631140020000|ZMZ4489|HARBOURCAT|-36.85898|174.89397166666666
1631139900000|ZMQ7781|ISLAND NAVIGATOR|-36.837965|174.75494
1631140073000|ZMW7964|KORORA|-36.84133166666667|174.767305
1631139900000|ZMU5423|SEABRIDGE|-36.83772|174.75544
1631140020000|ZMV7638|SEAMASTER|-36.840831666666666|174.92136
1631140020000|ZMR3466|SEAWAY II|-36.859141666666666|174.94032166666668
1631140020000|ZMV7877|SERENITY|-36.82639833333333|174.69636833333334
1631140080000|ZMU2646|TE KOTUKU|-36.841948333333335|174.76674333333332
1631139900000|ZMR2981|TIGER CAT|-36.84070666666667|174.76755833333334
1631140082000|ZMX2703|TOREA|-36.78086833333333|174.982605
1631140082000|ZMX8794|IKA KAKAHI|-36.838885|174.79214666666667
1631140560000|ZMG2004|ADVENTURER|-36.835458333333335|174.785705
1631140578000|ZMG3426|KEKENO|-36.842348333333334|174.766345
1631140576000|ZMS7101|CLIPPER II|-36.88974|174.98972
1631140582000|ZMT3984|CLIPPER 3|-36.88956666666667|174.98965333333334
1631140575000|ZMU7402|D6 |-36.84106833333333|174.767455
1631140576000|ZME7070|D7 |-36.78988|174.67827166666666
1631140560000|ZMZ6487|DISCOVERY I|-36.842485|174.762585
1631140440000|ZMA2422|DISCOVERY III|-36.839888333333334|174.75087166666665
1631140560000|ZMZ4489|HARBOURCAT|-36.86851333333333|174.90091166666667
1631140440000|ZMQ7781|ISLAND NAVIGATOR|-36.837935|174.754915
1631140582000|ZMW7964|KORORA|-36.84134|174.76729333333333
1631140500000|ZMR3723|OSPREY|-36.840316666666666|174.75023
1631140440000|ZMU5423|SEABRIDGE|-36.83772666666667|174.75544
1631140560000|ZMV7638|SEAMASTER|-36.83934|174.92260333333334
1631140380000|ZMR3466|SEAWAY II|-36.858795|174.941295
1631140560000|ZMV7877|SERENITY|-36.82967333333333|174.76037166666666
1631140580000|ZMU2646|TE KOTUKU|-36.84196333333333|174.76675
1631140440000|ZMR2981|TIGER CAT|-36.84073333333333|174.76758333333333
1631140573000|ZMX2703|TOREA|-36.780788333333334|174.99148166666666
1631140582000|ZMX8794|IKA KAKAHI|-36.84083|174.76616833333333
1631140560000|ZMG2004|ADVENTURER|-36.835188333333335|174.78773
1631140607000|ZMG3426|KEKENO|-36.84234333333333|174.76633333333334
1631140605000|ZMS7101|CLIPPER II|-36.88973|174.98972
1631140611000|ZMT3984|CLIPPER 3|-36.88957333333333|174.98965333333334
1631140604000|ZMU7402|D6 |-36.84106833333333|174.76743666666667
1631140607000|ZME7070|D7 |-36.789885|174.67826666666667
1631140560000|ZMZ6487|DISCOVERY I|-36.842485|174.762585
1631140440000|ZMA2422|DISCOVERY III|-36.839888333333334|174.75087166666665
1631140560000|ZMZ4489|HARBOURCAT|-36.869143333333334|174.90117666666666
1631140440000|ZMQ7781|ISLAND NAVIGATOR|-36.837935|174.754915
1631140612000|ZMW7964|KORORA|-36.841341666666665|174.76729166666667
1631140500000|ZMR3723|OSPREY|-36.840316666666666|174.75023
1631140440000|ZMU5423|SEABRIDGE|-36.83772666666667|174.75544
1631140560000|ZMV7638|SEAMASTER|-36.83934|174.92260333333334
1631140560000|ZMR3466|SEAWAY II|-36.858803333333334|174.94127666666665
1631140560000|ZMV7877|SERENITY|-36.830623333333335|174.76219166666667
1631140609000|ZMU2646|TE KOTUKU|-36.841925|174.76673166666666
1631140440000|ZMR2981|TIGER CAT|-36.84073333333333|174.76758333333333
1631140613000|ZMX2703|TOREA|-36.780786666666664|174.99148166666666
1631140612000|ZMX8794|IKA KAKAHI|-36.84162833333333|174.76683833333334
1631140560000|ZMG2004|ADVENTURER|-36.835188333333335|174.78773
1631140638000|ZMG3426|KEKENO|-36.842348333333334|174.76634333333334
1631140636000|ZMS7101|CLIPPER II|-36.88973333333333|174.98972
1631140631000|ZMT3984|CLIPPER 3|-36.88957666666666|174.98965333333334
1631140635000|ZMU7402|D6 |-36.84106|174.767425
1631140636000|ZME7070|D7 |-36.789883333333336|174.678275
1631140560000|ZMZ6487|DISCOVERY I|-36.842485|174.762585
1631140440000|ZMA2422|DISCOVERY III|-36.839888333333334|174.75087166666665
1631140620000|ZMZ4489|HARBOURCAT|-36.869661666666666|174.901325
1631140440000|ZMQ7781|ISLAND NAVIGATOR|-36.837935|174.754915
1631140632000|ZMW7964|KORORA|-36.84134|174.76729166666667
1631140500000|ZMR3723|OSPREY|-36.840316666666666|174.75023
1631140620000|ZMU5423|SEABRIDGE|-36.83772333333334|174.75544
1631140560000|ZMV7638|SEAMASTER|-36.83934|174.92260333333334
1631140560000|ZMR3466|SEAWAY II|-36.858803333333334|174.94127666666665
1631140620000|ZMV7877|SERENITY|-36.831813333333336|174.76351333333332
1631140640000|ZMU2646|TE KOTUKU|-36.841998333333336|174.76676
1631140620000|ZMR2981|TIGER CAT|-36.84074833333333|174.76757666666666
1631140633000|ZMX2703|TOREA|-36.780785|174.99148166666666
1631140639000|ZMX8794|IKA KAKAHI|-36.841723333333334|174.76709833333334
1631140680000|ZMG2004|ADVENTURER|-36.83452833333333|174.791825
1631140677000|ZMG3426|KEKENO|-36.842353333333335|174.76634666666666
1631140676000|ZMS7101|CLIPPER II|-36.88974|174.98972
1631140671000|ZMT3984|CLIPPER 3|-36.88957333333333|174.98965333333334
1631140674000|ZMU7402|D6 |-36.841075|174.76743166666665
1631140676000|ZME7070|D7 |-36.78988666666667|174.67826833333334
1631140560000|ZMZ6487|DISCOVERY I|-36.842485|174.762585
1631140680000|ZMA2422|DISCOVERY III|-36.839906666666664|174.75087833333333
1631140620000|ZMZ4489|HARBOURCAT|-36.870266666666666|174.90135166666667
1631140680000|ZMQ7781|ISLAND NAVIGATOR|-36.83794833333334|174.754955
1631140672000|ZMW7964|KORORA|-36.84133666666666|174.767295
1631140500000|ZMR3723|OSPREY|-36.840316666666666|174.75023
1631140620000|ZMU5423|SEABRIDGE|-36.83772333333334|174.75544
1631140680000|ZMV7638|SEAMASTER|-36.839065|174.92155166666666
1631140560000|ZMR3466|SEAWAY II|-36.858803333333334|174.94127666666665
1631140620000|ZMV7877|SERENITY|-36.832955|174.764885
1631140669000|ZMU2646|TE KOTUKU|-36.84193833333333|174.76669833333332
1631140620000|ZMR2981|TIGER CAT|-36.84074833333333|174.76757666666666
1631140673000|ZMX2703|TOREA|-36.780785|174.99148333333332
1631140677000|ZMX8794|IKA KAKAHI|-36.84180333333333|174.76713666666666
1631140680000|ZMG2004|ADVENTURER|-36.834181666666666|174.79337833333332
1631140697000|ZMG3426|KEKENO|-36.842355|174.76634666666666
1631140694000|ZMS7101|CLIPPER II|-36.88974|174.98972
1631140701000|ZMT3984|CLIPPER 3|-36.88957333333333|174.98965333333334
1631140704000|ZMU7402|D6 |-36.841078333333336|174.76744666666667
1631140696000|ZME7070|D7 |-36.78989166666667|174.67826
1631140560000|ZMZ6487|DISCOVERY I|-36.842485|174.762585
1631140680000|ZMA2422|DISCOVERY III|-36.839906666666664|174.75087833333333
1631140680000|ZMZ4489|HARBOURCAT|-36.871028333333335|174.90142166666666
1631140680000|ZMQ7781|ISLAND NAVIGATOR|-36.83794833333334|174.754955
1631140702000|ZMW7964|KORORA|-36.84133666666666|174.76729666666665
1631140500000|ZMR3723|OSPREY|-36.840316666666666|174.75023
1631140620000|ZMU5423|SEABRIDGE|-36.83772333333334|174.75544
1631140680000|ZMV7638|SEAMASTER|-36.839065|174.92155166666666
1631140560000|ZMR3466|SEAWAY II|-36.858803333333334|174.94127666666665
1631140680000|ZMV7877|SERENITY|-36.834185|174.76635333333334
1631140700000|ZMU2646|TE KOTUKU|-36.84197666666667|174.76673333333332
1631140620000|ZMR2981|TIGER CAT|-36.84074833333333|174.76757666666666
1631140702000|ZMX2703|TOREA|-36.78078333333333|174.99148166666666
1631140705000|ZMX8794|IKA KAKAHI|-36.84189833333333|174.76714666666666
1631140680000|ZMG2004|ADVENTURER|-36.83347833333333|174.79468
1631140737000|ZMG3426|KEKENO|-36.84235|174.76634166666668
1631140725000|ZMS7101|CLIPPER II|-36.889743333333335|174.98972
